Anderson	9.2	9.8	7.6	8.9	7.8	10	7.7	10	8.3	8.5	9.4	8.2	9.3	8.5
Blouin	9.6	9.3	8.5	9.8	8.1	10	8	7.9	9.2	9.7	9.1	7.1	8.3	9.3
Rukajarvi	9.3	7.5	7.2	10	8.8	8.1	9.2	7.1	8.7	9.7	8.6	9.5	7.1	8.2
Langland	9.6	9.5	8	8.9	8.1	8.7	8.1	7.4	9.7	9.5	7.9	7.9	8.9	8.5
Jenson	9.5	7.5	8.4	9.3	9.8	7.7	7.8	9.1	9.6	9.1	8.6	7.2	8.5	7.9
Candrian	8.9	8	9.2	9.8	8.5	8.9	9.2	9.8	9.9	7.9	7.4	9	7.7	9.7
Fedorova	8.9	8.1	9.9	7.5	7.5	9.6	8.3	8.5	8.3	7.5	9.5	8.8	7.8	8.7
Fujimori	8.6	8.6	8.5	8.4	7.7	9.9	9.3	8.2	10	8.6	7.6	7.5	8.8	7.1
Koenz	7.4	8.8	7.6	8.8	7.8	8.3	8.1	8.1	9.5	7.7	9.5	8.9	7.6	10
Marino	7.3	9.5	7.1	7.2	7.3	8.6	9	8.6	9.6	8.7	9.5	7.3	8.2	9
